step,sim_time,pos_x,pos_y,heading,speed,reward,punishment,current_zone,alternation_rate,time_step,fly_x,fly_y,fly_heading,fly_speed,state,satiety,food_collected,hazard_encounters,predator_kills,escapes,paradigm
61,1.22,60.13629126778971,60.0,1.3262240867508757e-22,0.136668633894506,0.0,0.0,hub,0.0,61,60.13629126778971,60.0,1.3262240867508757e-22,0.136668633894506,WANDER,0.55,0,0,0,0,y_maze
62,1.24,60.138940998014654,60.0,1.333881764690307e-22,0.13248651124710067,0.0,0.0,hub,0.0,62,60.138940998014654,60.0,1.333881764690307e-22,0.13248651124710067,WANDER,0.55,0,0,0,0,y_maze
63,1.26,60.141491229999154,60.0,1.3411831127718377e-22,0.1275115992251165,0.0,0.0,hub,0.0,63,60.141491229999154,60.0,1.3411831127718377e-22,0.1275115992251165,WANDER,0.55,0,0,0,0,y_maze
64,1.28,60.14400376760703,60.0,1.3455410029451838e-22,0.12562688039405667,0.0,0.0,hub,0.0,64,60.14400376760703,60.0,1.3455410029451838e-22,0.12562688039405667,WANDER,0.55,0,0,0,0,y_maze
65,1.3,60.146530713478384,60.0,1.3496990287408436e-22,0.1263472935676991,0.0,0.0,hub,0.0,65,60.146530713478384,60.0,1.3496990287408436e-22,0.1263472935676991,WANDER,0.55,0,0,0,0,y_maze
66,1.32,60.14911037940618,60.0,1.3536666837167572e-22,0.12898329638984127,0.0,0.0,hub,0.0,66,60.14911037940618,60.0,1.3536666837167572e-22,0.12898329638984127,WANDER,0.55,0,0,0,0,y_maze
67,1.34,60.151764408545546,60.0,1.3574530104868624e-22,0.13270145696837662,0.0,0.0,hub,0.0,67,60.151764408545546,60.0,1.3574530104868624e-22,0.13270145696837662,WANDER,0.55,0,0,0,0,y_maze
68,1.36,60.15449636905578,60.0,1.3610666221409354e-22,0.13659802551150688,0.0,0.0,hub,0.0,68,60.15449636905578,60.0,1.3610666221409354e-22,0.13659802551150688,WANDER,0.55,0,0,0,0,y_maze
69,1.3800000000000001,60.157291946596,60.0,1.3645157226469877e-22,0.13977887701082578,0.0,0.0,hub,0.0,69,60.157291946596,60.0,1.3645157226469877e-22,0.13977887701082578,WANDER,0.55,0,0,0,0,y_maze
70,1.4000000000000001,60.16012071947713,60.0,1.36780812628455e-22,0.1414386440566314,0.0,0.0,hub,0.0,70,60.16012071947713,60.0,1.36780812628455e-22,0.1414386440566314,WANDER,0.55,0,0,0,0,y_maze
71,1.42,60.162939358111274,60.0,1.370951276154876e-22,0.140931931707182,0.0,0.0,hub,0.0,71,60.162939358111274,60.0,1.370951276154876e-22,0.140931931707182,WANDER,0.55,0,0,0,0,y_maze
72,1.44,60.165695962459786,60.0,1.3817644229675128e-22,0.1378302174257002,0.0,0.0,hub,0.0,72,60.165695962459786,60.0,1.3817644229675128e-22,0.1378302174257002,WANDER,0.55,0,0,0,0,y_maze
73,1.46,60.16833514895169,60.0,1.3920719040281219e-22,0.13195932459536633,0.0,0.0,hub,0.0,73,60.16833514895169,60.0,1.3920719040281219e-22,0.13195932459536633,WANDER,0.55,0,0,0,0,y_maze
74,1.48,60.17090771309935,60.0,1.4018977384599245e-22,0.12862820738312764,0.0,0.0,hub,0.0,74,60.17090771309935,60.0,1.4018977384599245e-22,0.12862820738312764,WANDER,0.55,0,0,0,0,y_maze
75,1.5,60.17347074135563,60.0,1.4086607507592543e-22,0.12815141281375725,0.0,0.0,hub,0.0,75,60.17347074135563,60.0,1.4086607507592543e-22,0.12815141281375725,WANDER,0.55,0,0,0,0,y_maze
76,1.52,60.17606921253952,60.0,1.4151102042572633e-22,0.12992355919428242,0.0,0.0,hub,0.0,76,60.17606921253952,60.0,1.4151102042572633e-22,0.12992355919428242,WANDER,0.55,0,0,0,0,y_maze
77,1.54,60.17873254239523,60.0,1.4186569392784799e-22,0.13316649278564827,0.0,0.0,hub,0.0,77,60.17873254239523,60.0,1.4186569392784799e-22,0.13316649278564827,WANDER,0.55,0,0,0,0,y_maze
78,1.56,60.18147249936605,60.0,1.422042614230411e-22,0.13699784854121136,0.0,0.0,hub,0.0,78,60.18147249936605,60.0,1.422042614230411e-22,0.13699784854121136,WANDER,0.55,0,0,0,0,y_maze
79,1.58,60.18428267991475,60.0,1.4304829869034175e-22,0.1405090274348558,0.0,0.0,hub,0.0,79,60.18428267991475,60.0,1.4304829869034175e-22,0.1405090274348558,WANDER,0.55,0,0,0,0,y_maze
80,1.6,60.18713959163165,60.0,1.4385304005960284e-22,0.14284558584494525,0.0,0.0,hub,0.0,80,60.18713959163165,60.0,1.4385304005960284e-22,0.14284558584494525,WANDER,0.55,0,0,0,0,y_maze
81,1.62,60.1900052479515,60.0,1.451411628296882e-22,0.14328281599242446,0.0,0.0,hub,0.0,81,60.1900052479515,60.0,1.451411628296882e-22,0.14328281599242446,WANDER,0.55,0,0,0,0,y_maze
82,1.6400000000000001,60.19283104251868,60.0,1.4636895052808672e-22,0.14128972835883588,0.0,0.0,hub,0.0,82,60.19283104251868,60.0,1.4636895052808672e-22,0.14128972835883588,WANDER,0.55,0,0,0,0,y_maze
83,1.6600000000000001,60.19556255628965,60.0,1.4753926907070354e-22,0.1365756885486835,0.0,0.0,hub,0.0,83,60.19556255628965,60.0,1.4753926907070354e-22,0.1365756885486835,WANDER,0.55,0,0,0,0,y_maze
84,1.68,60.19819743721847,60.0,1.4865484824243828e-22,0.13174404644094934,0.0,0.0,hub,0.0,84,60.19819743721847,60.0,1.4865484824243828e-22,0.13174404644094934,WANDER,0.55,0,0,0,0,y_maze
85,1.7,60.20079683876656,60.0,1.499786935352613e-22,0.12997007740458857,0.0,0.0,hub,0.0,85,60.20079683876656,60.0,1.499786935352613e-22,0.12997007740458857,WANDER,0.55,0,0,0,0,y_maze
86,1.72,60.20341170150444,60.0,1.5124053438043496e-22,0.1307431368941273,0.0,0.0,hub,0.0,86,60.20341170150444,60.0,1.5124053438043496e-22,0.1307431368941273,WANDER,0.55,0,0,0,0,y_maze
87,1.74,60.206078781909746,60.0,1.5244331598922257e-22,0.1333540202651258,0.0,0.0,hub,0.0,87,60.206078781909746,60.0,1.5244331598922257e-22,0.1333540202651258,WANDER,0.55,0,0,0,0,y_maze
88,1.76,60.20881792767555,60.0,1.5385024904720594e-22,0.1369572882902058,0.0,0.0,hub,0.0,88,60.20881792767555,60.0,1.5385024904720594e-22,0.1369572882902058,WANDER,0.55,0,0,0,0,y_maze
89,1.78,60.211630845410255,60.0,1.5467044768885538e-22,0.14064588673545023,0.0,0.0,hub,0.0,89,60.211630845410255,60.0,1.5467044768885538e-22,0.14064588673545023,WANDER,0.55,0,0,0,0,y_maze
90,1.8,60.214501472547845,60.0,1.5597334839862563e-22,0.14353135687931523,0.0,0.0,hub,0.0,90,60.214501472547845,60.0,1.5597334839862563e-22,0.14353135687931523,WANDER,0.55,0,0,0,0,y_maze
91,1.82,60.21739792118681,60.0,1.5773607771601591e-22,0.14482243194818886,0.0,0.0,hub,0.0,91,60.21739792118681,60.0,1.5773607771601591e-22,0.14482243194818886,WANDER,0.55,0,0,0,0,y_maze
92,1.84,60.22027582037671,60.0,1.588952271824854e-22,0.14389495949536793,0.0,0.0,hub,0.0,92,60.22027582037671,60.0,1.588952271824854e-22,0.14389495949536793,WANDER,0.55,0,0,0,0,y_maze
93,1.86,60.22308275775149,60.0,1.6000022269692483e-22,0.14034686873893562,0.0,0.0,hub,0.0,93,60.22308275775149,60.0,1.6000022269692483e-22,0.14034686873893562,WANDER,0.55,0,0,0,0,y_maze
94,1.8800000000000001,60.225763422648505,60.0,1.6105363657205557e-22,0.13403324485074064,0.0,0.0,hub,0.0,94,60.225763422648505,60.0,1.6105363657205557e-22,0.13403324485074064,WANDER,0.55,0,0,0,0,y_maze
95,1.9000000000000001,60.22838192543055,60.0,1.620579189357448e-22,0.13092513910218537,0.0,0.0,hub,0.0,95,60.22838192543055,60.0,1.620579189357448e-22,0.13092513910218537,WANDER,0.55,0,0,0,0,y_maze
96,1.92,60.23099432085948,60.0,1.6301540353478602e-22,0.13061977144671214,0.0,0.0,hub,0.0,96,60.23099432085948,60.0,1.6301540353478602e-22,0.13061977144671214,WANDER,0.55,0,0,0,0,y_maze
97,1.94,60.23364410900306,60.0,1.6392831326299996e-22,0.1324894071788307,0.0,0.0,hub,0.0,97,60.23364410900306,60.0,1.6392831326299996e-22,0.1324894071788307,WANDER,0.55,0,0,0,0,y_maze
98,1.96,60.23635891884055,60.0,1.6505917079860442e-22,0.13574049187478696,0.0,0.0,hub,0.0,98,60.23635891884055,60.0,1.6505917079860442e-22,0.13574049187478696,WANDER,0.55,0,0,0,0,y_maze
99,1.98,60.239148590458996,60.0,1.658768403209089e-22,0.1394835809222088,0.0,0.0,hub,0.0,99,60.239148590458996,60.0,1.658768403209089e-22,0.1394835809222088,WANDER,0.55,0,0,0,0,y_maze
100,2.0,60.24200482924078,60.0,1.6665657618853111e-22,0.14281193908922218,0.0,0.0,hub,0.0,100,60.24200482924078,60.0,1.6665657618853111e-22,0.14281193908922218,WANDER,0.55,0,0,0,0,y_maze
101,2.02,60.24490246423473,60.0,1.6740018025006848e-22,0.1448817496973644,0.0,0.0,hub,0.0,101,60.24490246423473,60.0,1.6740018025006848e-22,0.1448817496973644,WANDER,0.55,0,0,0,0,y_maze
102,2.04,60.24780219880575,60.0,1.6784896339445657e-22,0.14498672855117603,0.0,0.0,hub,0.0,102,60.24780219880575,60.0,1.6784896339445657e-22,0.14498672855117603,WANDER,0.55,0,0,0,0,y_maze
103,2.06,60.25065460761196,60.0,1.6775649679953902e-22,0.14262044031061966,0.0,0.0,hub,0.0,103,60.25065460761196,60.0,1.6775649679953902e-22,0.14262044031061966,WANDER,0.55,0,0,0,0,y_maze
104,2.08,60.25340502199889,60.0,1.6792965105575824e-22,0.13752071934636106,0.0,0.0,hub,0.0,104,60.25340502199889,60.0,1.6792965105575824e-22,0.13752071934636106,WANDER,0.55,0,0,0,0,y_maze
105,2.1,60.25606446939535,60.0,1.6783502587284582e-22,0.13297236982292313,0.0,0.0,hub,0.0,105,60.25606446939535,60.0,1.6783502587284582e-22,0.13297236982292313,WANDER,0.55,0,0,0,0,y_maze
106,2.12,60.25869326356645,60.0,1.6748531333029299e-22,0.13143970855518755,0.0,0.0,hub,0.0,106,60.25869326356645,60.0,1.6748531333029299e-22,0.13143970855518755,WANDER,0.55,0,0,0,0,y_maze
107,2.14,60.26134101054803,60.0,1.6715300800566865e-22,0.1323873490791308,0.0,0.0,hub,0.0,107,60.26134101054803,60.0,1.6715300800566865e-22,0.1323873490791308,WANDER,0.55,0,0,0,0,y_maze
108,2.16,60.26404276004411,60.0,1.6683728305612122e-22,0.1350874748043018,0.0,0.0,hub,0.0,108,60.26404276004411,60.0,1.6683728305612122e-22,0.1350874748043018,WANDER,0.55,0,0,0,0,y_maze
109,2.18,60.26681643663494,60.0,1.66797756285688e-22,0.13868382954122227,0.0,0.0,hub,0.0,109,60.26681643663494,60.0,1.66797756285688e-22,0.13868382954122227,WANDER,0.55,0,0,0,0,y_maze
110,2.2,60.269661782683514,60.0,1.6676093035287509e-22,0.14226730242853255,0.0,0.0,hub,0.0,110,60.269661782683514,60.0,1.6676093035287509e-22,0.14226730242853255,WANDER,0.55,0,0,0,0,y_maze
111,2.22,60.27256090903245,60.0,1.6594546085233512e-22,0.14495631744696566,0.0,0.0,hub,0.0,111,60.27256090903245,60.0,1.6594546085233512e-22,0.14495631744696566,WANDER,0.55,0,0,0,0,y_maze
112,2.24,60.27548040516064,60.0,1.6464865639378614e-22,0.1459748064096103,0.0,0.0,hub,0.0,112,60.27548040516064,60.0,1.6464865639378614e-22,0.1459748064096103,WANDER,0.55,0,0,0,0,y_maze
113,2.2600000000000002,60.278374820389146,60.0,1.634141362437055e-22,0.1447207614252211,0.0,0.0,hub,0.0,113,60.278374820389146,60.0,1.634141362437055e-22,0.1447207614252211,WANDER,0.55,0,0,0,0,y_maze
114,2.2800000000000002,60.28119120456613,60.0,1.6223894189744097e-22,0.14081920884892923,0.0,0.0,hub,0.0,114,60.28119120456613,60.0,1.6223894189744097e-22,0.14081920884892923,WANDER,0.55,0,0,0,0,y_maze
115,2.3000000000000003,60.28388740143024,60.0,1.6112025537931129e-22,0.13480984320570147,0.0,0.0,hub,0.0,115,60.28388740143024,60.0,1.6112025537931129e-22,0.13480984320570147,WANDER,0.55,0,0,0,0,y_maze
116,2.32,60.28652699887268,60.0,1.603157979393335e-22,0.13197987212178772,0.0,0.0,hub,0.0,116,60.28652699887268,60.0,1.603157979393335e-22,0.13197987212178772,WANDER,0.55,0,0,0,0,y_maze
117,2.34,60.289164911031385,60.0,1.5955026576830944e-22,0.13189560793526373,0.0,0.0,hub,0.0,117,60.289164911031385,60.0,1.5955026576830944e-22,0.13189560793526373,WANDER,0.55,0,0,0,0,y_maze
118,2.36,60.29184306636655,60.0,1.5830099917225685e-22,0.1339077667585246,0.0,0.0,hub,0.0,118,60.29184306636655,60.0,1.5830099917225685e-22,0.1339077667585246,WANDER,0.55,0,0,0,0,y_maze
119,2.38,60.294587233912715,60.0,1.5685132602048309e-22,0.13720837730795038,0.0,0.0,hub,0.0,119,60.294587233912715,60.0,1.5685132602048309e-22,0.13720837730795038,WANDER,0.55,0,0,0,0,y_maze
120,2.4,60.297405273943596,60.0,1.5547114355237087e-22,0.14090200154395474,0.0,0.0,hub,0.0,120,60.297405273943596,60.0,1.5547114355237087e-22,0.14090200154395474,WANDER,0.55,0,0,0,0,y_maze
121,2.42,60.300286971326265,60.0,1.5415715096044627e-22,0.1440848691334977,0.0,0.0,hub,0.0,121,60.300286971326265,60.0,1.5415715096044627e-22,0.1440848691334977,WANDER,0.55,0,0,0,0,y_maze
122,2.44,60.30320546767151,60.0,1.529062042255904e-22,0.1459248172623602,0.0,0.0,hub,0.0,122,60.30320546767151,60.0,1.529062042255904e-22,0.1459248172623602,WANDER,0.55,0,0,0,0,y_maze
123,2.46,60.306120164774114,60.0,1.5171530866959245e-22,0.1457348551303206,0.0,0.0,hub,0.0,123,60.306120164774114,60.0,1.5171530866959245e-22,0.1457348551303206,WANDER,0.55,0,0,0,0,y_maze
124,2.48,60.308980839674945,60.0,1.513628279770171e-22,0.143033745041679,0.0,0.0,hub,0.0,124,60.308980839674945,60.0,1.513628279770171e-22,0.143033745041679,WANDER,0.55,0,0,0,0,y_maze
125,2.5,60.31173260283379,60.0,1.5050699291418692e-22,0.13758815794255863,0.0,0.0,hub,0.0,125,60.31173260283379,60.0,1.5050699291418692e-22,0.13758815794255863,WANDER,0.55,0,0,0,0,y_maze
126,2.52,60.31439981814997,60.0,1.4969246866966096e-22,0.13336076580900372,0.0,0.0,hub,0.0,126,60.31439981814997,60.0,1.4969246866966096e-22,0.13336076580900372,WANDER,0.55,0,0,0,0,y_maze
