step,sim_time,pos_x,pos_y,heading,speed,reward,punishment,looming_size,gf_spike,time_step,fly_x,fly_y,fly_heading,fly_speed,state,satiety,food_collected,hazard_encounters,predator_kills,escapes,paradigm
56,1.12,40.12274991066272,40.0,1.2763481616363736e-22,0.12650009824854488,0.0,0.0,174.2751895477765,0.0,56,40.12274991066272,40.0,1.2763481616363736e-22,0.12650009824854488,WANDER,0.55,0,0,0,0,looming_escape
57,1.1400000000000001,40.12536176938255,40.0,1.2889414016388156e-22,0.1305929359915646,0.0,0.0,174.2751895477765,0.0,57,40.12536176938255,40.0,1.2889414016388156e-22,0.1305929359915646,WANDER,0.55,0,0,0,0,looming_escape
58,1.16,40.12805081979847,40.0,1.2983400933055044e-22,0.13445252079593317,0.0,0.0,174.2751895477765,0.0,58,40.12805081979847,40.0,1.2983400933055044e-22,0.13445252079593317,WANDER,0.55,0,0,0,0,looming_escape
59,1.18,40.13079512166329,40.0,1.3099038106807827e-22,0.13721509324116593,0.0,0.0,174.2751895477765,0.0,59,40.13079512166329,40.0,1.3099038106807827e-22,0.13721509324116593,WANDER,0.55,0,0,0,0,looming_escape
60,1.2,40.13355789511182,40.0,1.3209259357636328e-22,0.1381386724265947,0.0,0.0,174.2751895477765,0.0,60,40.13355789511182,40.0,1.3209259357636328e-22,0.1381386724265947,WANDER,0.55,0,0,0,0,looming_escape
61,1.22,40.13629126778971,40.0,1.3262240867508757e-22,0.136668633894506,0.0,0.0,174.2751895477765,0.0,61,40.13629126778971,40.0,1.3262240867508757e-22,0.136668633894506,WANDER,0.55,0,0,0,0,looming_escape
62,1.24,40.138940998014654,40.0,1.333881764690307e-22,0.13248651124710067,0.0,0.0,174.2751895477765,0.0,62,40.138940998014654,40.0,1.333881764690307e-22,0.13248651124710067,WANDER,0.55,0,0,0,0,looming_escape
63,1.26,40.141491229999154,40.0,1.3411831127718377e-22,0.1275115992251165,0.0,0.0,174.2751895477765,0.0,63,40.141491229999154,40.0,1.3411831127718377e-22,0.1275115992251165,WANDER,0.55,0,0,0,0,looming_escape
64,1.28,40.14400376760703,40.0,1.3455410029451838e-22,0.12562688039405667,0.0,0.0,174.2751895477765,0.0,64,40.14400376760703,40.0,1.3455410029451838e-22,0.12562688039405667,WANDER,0.55,0,0,0,0,looming_escape
65,1.3,40.146530713478384,40.0,1.3496990287408436e-22,0.1263472935676991,0.0,0.0,174.2751895477765,0.0,65,40.146530713478384,40.0,1.3496990287408436e-22,0.1263472935676991,WANDER,0.55,0,0,0,0,looming_escape
66,1.32,40.14911037940618,40.0,1.3536666837167572e-22,0.12898329638984127,0.0,0.0,174.2751895477765,0.0,66,40.14911037940618,40.0,1.3536666837167572e-22,0.12898329638984127,WANDER,0.55,0,0,0,0,looming_escape
67,1.34,40.151764408545546,40.0,1.3574530104868624e-22,0.13270145696837662,0.0,0.0,174.2751895477765,0.0,67,40.151764408545546,40.0,1.3574530104868624e-22,0.13270145696837662,WANDER,0.55,0,0,0,0,looming_escape
68,1.36,40.15449636905578,40.0,1.3610666221409354e-22,0.13659802551150688,0.0,0.0,174.2751895477765,0.0,68,40.15449636905578,40.0,1.3610666221409354e-22,0.13659802551150688,WANDER,0.55,0,0,0,0,looming_escape
69,1.3800000000000001,40.157291946596,40.0,1.3645157226469877e-22,0.13977887701082578,0.0,0.0,174.2751895477765,0.0,69,40.157291946596,40.0,1.3645157226469877e-22,0.13977887701082578,WANDER,0.55,0,0,0,0,looming_escape
70,1.4000000000000001,40.16012071947713,40.0,1.36780812628455e-22,0.1414386440566314,0.0,0.0,174.2751895477765,0.0,70,40.16012071947713,40.0,1.36780812628455e-22,0.1414386440566314,WANDER,0.55,0,0,0,0,looming_escape
71,1.42,40.162939358111274,40.0,1.370951276154876e-22,0.140931931707182,0.0,0.0,174.2751895477765,0.0,71,40.162939358111274,40.0,1.370951276154876e-22,0.140931931707182,WANDER,0.55,0,0,0,0,looming_escape
72,1.44,40.165695962459786,40.0,1.3817644229675128e-22,0.1378302174257002,0.0,0.0,174.2751895477765,0.0,72,40.165695962459786,40.0,1.3817644229675128e-22,0.1378302174257002,WANDER,0.55,0,0,0,0,looming_escape
73,1.46,40.16833514895169,40.0,1.3920719040281219e-22,0.13195932459536633,0.0,0.0,174.2751895477765,0.0,73,40.16833514895169,40.0,1.3920719040281219e-22,0.13195932459536633,WANDER,0.55,0,0,0,0,looming_escape
74,1.48,40.17090771309935,40.0,1.4018977384599245e-22,0.12862820738312764,0.0,0.0,174.2751895477765,0.0,74,40.17090771309935,40.0,1.4018977384599245e-22,0.12862820738312764,WANDER,0.55,0,0,0,0,looming_escape
75,1.5,40.17347074135563,40.0,1.4086607507592543e-22,0.12815141281375725,0.0,0.0,174.2751895477765,0.0,75,40.17347074135563,40.0,1.4086607507592543e-22,0.12815141281375725,WANDER,0.55,0,0,0,0,looming_escape
76,1.52,40.17606921253952,40.0,1.4151102042572633e-22,0.12992355919428242,0.0,0.0,174.2751895477765,0.0,76,40.17606921253952,40.0,1.4151102042572633e-22,0.12992355919428242,WANDER,0.55,0,0,0,0,looming_escape
77,1.54,40.17873254239523,40.0,1.4186569392784799e-22,0.13316649278564827,0.0,0.0,174.2751895477765,0.0,77,40.17873254239523,40.0,1.4186569392784799e-22,0.13316649278564827,WANDER,0.55,0,0,0,0,looming_escape
78,1.56,40.18147249936605,40.0,1.422042614230411e-22,0.13699784854121136,0.0,0.0,174.2751895477765,0.0,78,40.18147249936605,40.0,1.422042614230411e-22,0.13699784854121136,WANDER,0.55,0,0,0,0,looming_escape
79,1.58,40.18428267991475,40.0,1.4304829869034175e-22,0.1405090274348558,0.0,0.0,174.2751895477765,0.0,79,40.18428267991475,40.0,1.4304829869034175e-22,0.1405090274348558,WANDER,0.55,0,0,0,0,looming_escape
80,1.6,40.18713959163165,40.0,1.4385304005960284e-22,0.14284558584494525,0.0,0.0,174.2751895477765,0.0,80,40.18713959163165,40.0,1.4385304005960284e-22,0.14284558584494525,WANDER,0.55,0,0,0,0,looming_escape
81,1.62,40.1900052479515,40.0,1.451411628296882e-22,0.14328281599242446,0.0,0.0,174.2751895477765,0.0,81,40.1900052479515,40.0,1.451411628296882e-22,0.14328281599242446,WANDER,0.55,0,0,0,0,looming_escape
