trial_id,condition,seed,success,killed,ttf,distance,initial_euclidean,pte,tortuosity,upwind_fidelity,satiety_auc,escapes_count
332,DELTA_JO,30073,0,0,400,829.73,45.84,0.0552,11.1207,0.0956,0.5457,30
333,DELTA_JO,30074,0,1,48,189.58,47.95,0.2529,4.7949,-0.1034,0.5485,30
334,DELTA_JO,30075,0,1,130,382.66,48.08,0.1257,8.5214,0.1165,0.5482,60
335,DELTA_JO,30076,0,1,121,346.09,45.78,0.1323,24.5884,0.125,0.5483,60
336,DELTA_JO,30077,0,1,145,372.34,46.55,0.125,8.7908,0.3688,0.5481,61
337,DELTA_JO,30078,0,1,138,392.05,47.12,0.1202,13.7078,-0.0921,0.5482,60
338,DELTA_JO,30079,0,1,58,210.17,48.02,0.2285,4.5127,0.2358,0.5485,30
339,DELTA_JO,30080,0,1,143,413.1,46.65,0.1129,16.694,0.3404,0.5481,60
340,DELTA_JO,30081,0,0,400,865.74,51.06,0.059,17.9612,-0.0095,0.5457,90
341,DELTA_JO,30082,0,1,87,219.56,46.1,0.21,6.7955,0.1329,0.5485,30
342,DELTA_JO,30083,1,0,156,336.65,49.09,0.1458,6.9783,0.2411,0.5483,30
343,DELTA_JO,30084,0,1,83,272.97,46.7,0.1711,5.4842,-0.0066,0.5485,30
344,DELTA_JO,30085,0,0,400,939.85,47.7,0.0508,14.9815,0.0642,0.5457,90
345,DELTA_JO,30086,0,1,89,252.24,43.76,0.1735,10.3417,0.447,0.5485,31
346,DELTA_JO,30087,0,1,48,186.34,50.8,0.2726,6.5776,0.207,0.5485,30
347,DELTA_JO,30088,0,1,144,389.18,48.46,0.1245,18.0374,0.2111,0.5481,60
348,DELTA_JO,30089,0,1,45,168.78,49.42,0.2928,3.9023,0.14,0.5484,30
349,DELTA_JO,30090,0,1,153,392.75,48.96,0.1246,11.6759,0.2522,0.548,60
350,DELTA_JO,30091,0,1,144,378.05,48.79,0.1291,7.9681,0.2292,0.5481,60
351,DELTA_JO,30092,0,1,56,188.73,47.98,0.2542,8.7009,0.5163,0.5485,30
352,DELTA_JO,30093,0,0,400,823.68,46.84,0.0569,18.0709,-0.0818,0.5457,113
353,DELTA_JO,30094,0,1,146,382.38,44.33,0.1159,21.0724,0.3048,0.5481,60
354,DELTA_JO,30095,0,1,48,155.34,45.31,0.2917,29.6629,0.0106,0.5485,30
355,DELTA_JO,30096,0,1,83,244.6,44.22,0.1808,7.4334,0.3254,0.5485,30
