step,sim_time,pos_x,pos_y,heading,speed,reward,punishment,goal_distance,goal_reached,collided,time_step,fly_x,fly_y,fly_heading,fly_speed,state,satiety,food_collected,hazard_encounters,predator_kills,escapes,paradigm
13,0.26,15.026000000000009,15.0,1.786185771389483e-24,0.1,0.0,0.0,134.60861999144038,0.0,0.0,13,15.026000000000009,15.0,1.786185771389483e-24,0.1,WANDER,0.55,0,0,0,0,labyrinth
14,0.28,15.02800000000001,15.0,2.0537076533062718e-24,0.1,0.0,0.0,134.6069116947566,0.0,0.0,14,15.02800000000001,15.0,2.0537076533062718e-24,0.1,WANDER,0.55,0,0,0,0,labyrinth
15,0.3,15.03000000000001,15.0,2.3356273001441503e-24,0.1,0.0,0.0,134.6052034061091,0.0,0.0,15,15.03000000000001,15.0,2.3356273001441503e-24,0.1,WANDER,0.55,0,0,0,0,labyrinth
16,0.32,15.03200000000001,15.0,2.6312608180693672e-24,0.1,0.0,0.0,134.6034951254981,0.0,0.0,16,15.03200000000001,15.0,2.6312608180693672e-24,0.1,WANDER,0.55,0,0,0,0,labyrinth
17,0.34,15.034038553348646,15.0,2.939956798205274e-24,0.10192766743176698,0.0,0.0,134.60178685292405,0.0,0.0,17,15.034038553348646,15.0,2.939956798205274e-24,0.10192766743176698,WANDER,0.55,0,0,0,0,labyrinth
18,0.36,15.036248374327581,15.0,3.2339897192847255e-24,0.11049104894671768,0.0,0.0,134.60004565880698,0.0,0.0,18,15.036248374327581,15.0,3.2339897192847255e-24,0.11049104894671768,WANDER,0.55,0,0,0,0,labyrinth
19,0.38,15.038632220174566,15.0,3.514056076612903e-24,0.11919229234927309,0.0,0.0,134.59815818891911,0.0,0.0,19,15.038632220174566,15.0,3.514056076612903e-24,0.11919229234927309,WANDER,0.55,0,0,0,0,labyrinth
20,0.4,15.041145309282925,15.0,3.753714227655854e-24,0.1256544554179587,0.0,0.0,134.59612209052787,0.0,0.0,20,15.041145309282925,15.0,3.753714227655854e-24,0.1256544554179587,WANDER,0.55,0,0,0,0,labyrinth
21,0.42,15.043703872857884,15.0,3.9819886165242655e-24,0.12792817874796367,0.0,0.0,134.59397561481495,0.0,0.0,21,15.043703872857884,15.0,3.9819886165242655e-24,0.12792817874796367,WANDER,0.55,0,0,0,0,labyrinth
22,0.44,15.046200428671558,15.0,4.226525026233565e-24,0.12482779068365926,0.0,0.0,134.5917903115609,0.0,0.0,22,15.046200428671558,15.0,4.226525026233565e-24,0.12482779068365926,WANDER,0.55,0,0,0,0,labyrinth
23,0.46,15.048646149361957,15.0,4.459445956481672e-24,0.12228603452000837,0.0,0.0,134.58965798264424,0.0,0.0,23,15.048646149361957,15.0,4.459445956481672e-24,0.12228603452000837,WANDER,0.55,0,0,0,0,labyrinth
24,0.48,15.05114728832927,15.0,4.681303142542994e-24,0.12505694836562184,0.0,0.0,134.58756908457258,0.0,0.0,24,15.05114728832927,15.0,4.681303142542994e-24,0.12505694836562184,WANDER,0.55,0,0,0,0,labyrinth
25,0.5,15.05377662643531,15.0,4.8655170579542666e-24,0.13146690530195337,0.0,0.0,134.5854328660029,0.0,0.0,25,15.05377662643531,15.0,4.8655170579542666e-24,0.13146690530195337,WANDER,0.55,0,0,0,0,labyrinth
26,0.52,15.056561935168707,15.0,5.068085866695641e-24,0.13926543666983973,0.0,0.0,134.58318716632263,0.0,0.0,26,15.056561935168707,15.0,5.068085866695641e-24,0.13926543666983973,WANDER,0.55,0,0,0,0,labyrinth
27,0.54,15.059482194305588,15.0,5.2610326570218e-24,0.1460129568440415,0.0,0.0,134.58080826835493,0.0,0.0,27,15.059482194305588,15.0,5.2610326570218e-24,0.1460129568440415,WANDER,0.55,0,0,0,0,labyrinth
