step,sim_time,pos_x,pos_y,heading,speed,reward,punishment,gap_width,probing,crossing_success,time_step,fly_x,fly_y,fly_heading,fly_speed,state,satiety,food_collected,hazard_encounters,predator_kills,escapes,paradigm
64,1.28,20.144003767606975,10.0,1.3455410029451838e-22,0.12562688039405667,0.0,0.0,3.5,0.0,0.0,64,20.144003767606975,10.0,1.3455410029451838e-22,0.12562688039405667,WANDER,0.55,0,0,0,0,gap_crossing
65,1.3,20.146530713478327,10.0,1.3496990287408436e-22,0.1263472935676991,0.0,0.0,3.5,0.0,0.0,65,20.146530713478327,10.0,1.3496990287408436e-22,0.1263472935676991,WANDER,0.55,0,0,0,0,gap_crossing
66,1.32,20.149110379406125,10.0,1.3536666837167572e-22,0.12898329638984127,0.0,0.0,3.5,0.0,0.0,66,20.149110379406125,10.0,1.3536666837167572e-22,0.12898329638984127,WANDER,0.55,0,0,0,0,gap_crossing
67,1.34,20.151764408545493,10.0,1.3574530104868624e-22,0.13270145696837662,0.0,0.0,3.5,0.0,0.0,67,20.151764408545493,10.0,1.3574530104868624e-22,0.13270145696837662,WANDER,0.55,0,0,0,0,gap_crossing
68,1.36,20.15449636905572,10.0,1.3610666221409354e-22,0.13659802551150688,0.0,0.0,3.5,0.0,0.0,68,20.15449636905572,10.0,1.3610666221409354e-22,0.13659802551150688,WANDER,0.55,0,0,0,0,gap_crossing
69,1.3800000000000001,20.157291946595937,10.0,1.3645157226469877e-22,0.13977887701082578,0.0,0.0,3.5,0.0,0.0,69,20.157291946595937,10.0,1.3645157226469877e-22,0.13977887701082578,WANDER,0.55,0,0,0,0,gap_crossing
70,1.4000000000000001,20.16012071947707,10.0,1.36780812628455e-22,0.1414386440566314,0.0,0.0,3.5,0.0,0.0,70,20.16012071947707,10.0,1.36780812628455e-22,0.1414386440566314,WANDER,0.55,0,0,0,0,gap_crossing
71,1.42,20.162939358111213,10.0,1.370951276154876e-22,0.140931931707182,0.0,0.0,3.5,0.0,0.0,71,20.162939358111213,10.0,1.370951276154876e-22,0.140931931707182,WANDER,0.55,0,0,0,0,gap_crossing
72,1.44,20.165695962459726,10.0,1.3817644229675128e-22,0.1378302174257002,0.0,0.0,3.5,0.0,0.0,72,20.165695962459726,10.0,1.3817644229675128e-22,0.1378302174257002,WANDER,0.55,0,0,0,0,gap_crossing
73,1.46,20.168335148951634,10.0,1.3920719040281219e-22,0.13195932459536633,0.0,0.0,3.5,0.0,0.0,73,20.168335148951634,10.0,1.3920719040281219e-22,0.13195932459536633,WANDER,0.55,0,0,0,0,gap_crossing
