step,sim_time,pos_x,pos_y,heading,speed,reward,punishment,hs_rate,drum_vel,saccade_shunt,time_step,fly_x,fly_y,fly_heading,fly_speed,state,satiety,food_collected,hazard_encounters,predator_kills,escapes,paradigm
42,0.84,45.08798567714497,45.0,1.0187856838203753e-22,0.11562267629693412,0.0,0.0,76.0,30.0,0.0,42,45.08798567714497,45.0,1.0187856838203753e-22,0.11562267629693412,WANDER,0.55,0,0,0,0,optomotor
43,0.86,45.090265026284754,45.0,1.0409017822786525e-22,0.1139674569891342,0.0,0.0,76.0,30.0,0.0,43,45.090265026284754,45.0,1.0409017822786525e-22,0.1139674569891342,WANDER,0.55,0,0,0,0,optomotor
44,0.88,45.09256417337736,45.0,1.0645788296229188e-22,0.11495735463031481,0.0,0.0,76.0,30.0,0.0,44,45.09256417337736,45.0,1.0645788296229188e-22,0.11495735463031481,WANDER,0.55,0,0,0,0,optomotor
45,0.9,45.09492265221673,45.0,1.08713890150123e-22,0.11792394196861614,0.0,0.0,76.0,30.0,0.0,45,45.09492265221673,45.0,1.08713890150123e-22,0.11792394196861614,WANDER,0.55,0,0,0,0,optomotor
46,0.92,45.09736359975121,45.0,1.1086350542482187e-22,0.12204737672401511,0.0,0.0,76.0,30.0,0.0,46,45.09736359975121,45.0,1.1086350542482187e-22,0.12204737672401511,WANDER,0.55,0,0,0,0,optomotor
47,0.9400000000000001,45.099892176645646,45.0,1.129117824022623e-22,0.12642884472154078,0.0,0.0,76.0,30.0,0.0,47,45.099892176645646,45.0,1.129117824022623e-22,0.12642884472154078,WANDER,0.55,0,0,0,0,optomotor
48,0.96,45.102495579585984,45.0,1.1486353465156407e-22,0.130170147016787,0.0,0.0,76.0,30.0,0.0,48,45.102495579585984,45.0,1.1486353465156407e-22,0.130170147016787,WANDER,0.55,0,0,0,0,optomotor
49,0.98,45.10514464523022,45.0,1.164629417254603e-22,0.13245328221173489,0.0,0.0,76.0,30.0,0.0,49,45.10514464523022,45.0,1.164629417254603e-22,0.13245328221173489,WANDER,0.55,0,0,0,0,optomotor
50,1.0,45.10779690274417,45.0,1.179871179477687e-22,0.13261287569771993,0.0,0.0,76.0,30.0,0.0,50,45.10779690274417,45.0,1.179871179477687e-22,0.13261287569771993,WANDER,0.55,0,0,0,0,optomotor
51,1.02,45.11040080174348,45.0,1.1943963678393971e-22,0.1301949499656576,0.0,0.0,76.0,30.0,0.0,51,45.11040080174348,45.0,1.1943963678393971e-22,0.1301949499656576,WANDER,0.55,0,0,0,0,optomotor
52,1.04,45.112900736877634,45.0,1.2108430733166832e-22,0.12499675670780629,0.0,0.0,76.0,30.0,0.0,52,45.112900736877634,45.0,1.2108430733166832e-22,0.12499675670780629,WANDER,0.55,0,0,0,0,optomotor
