step,sim_time,pos_x,pos_y,heading,speed,reward,punishment,drum_angle,laser_active,yaw_torque,time_step,fly_x,fly_y,fly_heading,fly_speed,state,satiety,food_collected,hazard_encounters,predator_kills,escapes,paradigm
66,1.32,40.14911037940618,40.0,1.3536666837167572e-22,0.12898329638984127,0.0,0.0,0.0,0.0,2.0790128978298616e-23,66,40.14911037940618,40.0,1.3536666837167572e-22,0.12898329638984127,WANDER,0.55,0,0,0,0,visual_operant
67,1.34,40.151764408545546,40.0,1.3574530104868624e-22,0.13270145696837662,0.0,0.0,0.0,0.0,1.983827487956778e-23,67,40.151764408545546,40.0,1.3574530104868624e-22,0.13270145696837662,WANDER,0.55,0,0,0,0,visual_operant
68,1.36,40.15449636905578,40.0,1.3610666221409354e-22,0.13659802551150688,0.0,0.0,0.0,0.0,1.8931633850526663e-23,68,40.15449636905578,40.0,1.3610666221409354e-22,0.13659802551150688,WANDER,0.55,0,0,0,0,visual_operant
69,1.3800000000000001,40.157291946596,40.0,1.3645157226469877e-22,0.13977887701082578,0.0,0.0,0.0,0.0,1.8068058270364998e-23,69,40.157291946596,40.0,1.3645157226469877e-22,0.13977887701082578,WANDER,0.55,0,0,0,0,visual_operant
70,1.4000000000000001,40.16012071947713,40.0,1.36780812628455e-22,0.1414386440566314,0.0,0.0,0.0,0.0,1.724550253026101e-23,70,40.16012071947713,40.0,1.36780812628455e-22,0.1414386440566314,WANDER,0.55,0,0,0,0,visual_operant
71,1.42,40.162939358111274,40.0,1.370951276154876e-22,0.140931931707182,0.0,0.0,0.0,0.0,1.6462018187811963e-23,71,40.162939358111274,40.0,1.370951276154876e-22,0.140931931707182,WANDER,0.55,0,0,0,0,visual_operant
72,1.44,40.165695962459786,40.0,1.3817644229675128e-22,0.1378302174257002,0.0,0.0,0.0,0.0,1.5715749351629246e-23,72,40.165695962459786,40.0,1.3817644229675128e-22,0.1378302174257002,WANDER,0.55,0,0,0,0,visual_operant
73,1.46,40.16833514895169,40.0,1.3920719040281219e-22,0.13195932459536633,0.0,0.0,0.0,0.0,5.406573406318466e-23,73,40.16833514895169,40.0,1.3920719040281219e-22,0.13195932459536633,WANDER,0.55,0,0,0,0,visual_operant
74,1.48,40.17090771309935,40.0,1.4018977384599245e-22,0.12862820738312764,0.0,0.0,0.0,0.0,5.153740530304539e-23,74,40.17090771309935,40.0,1.4018977384599245e-22,0.12862820738312764,WANDER,0.55,0,0,0,0,visual_operant
75,1.5,40.17347074135563,40.0,1.4086607507592543e-22,0.12815141281375725,0.0,0.0,0.0,0.0,4.9129172159012747e-23,75,40.17347074135563,40.0,1.4086607507592543e-22,0.12815141281375725,WANDER,0.55,0,0,0,0,visual_operant
