step,sim_time,pos_x,pos_y,heading,speed,reward,punishment,floor_temp,epg_bump,pam_burst,time_step,fly_x,fly_y,fly_heading,fly_speed,state,satiety,food_collected,hazard_encounters,predator_kills,escapes,paradigm
13,0.26,70.0,17.86999999999998,1.5707963267948966,-0.5,0.0,0.0,36.499999993481055,0.004663138402625222,0.0,13,70.0,17.86999999999998,1.5707963267948966,-0.5,REVERSE,0.55,0,0,0,0,heat_maze
14,0.28,70.0,17.859999999999978,1.5707963267948966,-0.5,0.0,0.0,36.499999993533095,0.005021585505819104,0.0,14,70.0,17.859999999999978,1.5707963267948966,-0.5,REVERSE,0.55,0,0,0,0,heat_maze
15,0.3,70.0,17.849999999999977,1.5707963267948966,-0.5,0.0,0.0,36.49999999358474,0.005379996095928874,0.0,15,70.0,17.849999999999977,1.5707963267948966,-0.5,REVERSE,0.55,0,0,0,0,heat_maze
16,0.32,70.0,17.839999999999975,1.5707963267948966,-0.5,0.0,0.0,36.49999999363597,0.0057383701803530585,0.0,16,70.0,17.839999999999975,1.5707963267948966,-0.5,REVERSE,0.55,0,0,0,0,heat_maze
17,0.34,70.0,17.829999999999973,1.5707963267948966,-0.5,0.0,0.0,36.49999999368681,0.006096707766487963,0.0,17,70.0,17.829999999999973,1.5707963267948966,-0.5,REVERSE,0.55,0,0,0,0,heat_maze
18,0.36,70.0,17.819999999999972,1.5707963267948966,-0.5,0.0,0.0,36.49999999373725,0.006455008861728118,0.0,18,70.0,17.819999999999972,1.5707963267948966,-0.5,REVERSE,0.55,0,0,0,0,heat_maze
19,0.38,70.0,17.80999999999997,1.5707963267948966,-0.5,0.0,0.0,36.49999999378729,0.0068132734734649425,0.0,19,70.0,17.80999999999997,1.5707963267948966,-0.5,REVERSE,0.55,0,0,0,0,heat_maze
20,0.4,70.0,17.79999999999997,1.5707963267948966,-0.5,0.0,0.0,36.49999999383695,0.007171501609088526,0.0,20,70.0,17.79999999999997,1.5707963267948966,-0.5,REVERSE,0.55,0,0,0,0,heat_maze
21,0.42,70.0,17.789999999999967,1.5707963267948966,-0.5,0.0,0.0,36.49999999388622,0.007529693275986293,0.0,21,70.0,17.789999999999967,1.5707963267948966,-0.5,REVERSE,0.55,0,0,0,0,heat_maze
22,0.44,70.0,17.779999999999966,1.5707963267948966,-0.5,0.0,0.0,36.499999993935106,0.007887848481543447,0.0,22,70.0,17.779999999999966,1.5707963267948966,-0.5,REVERSE,0.55,0,0,0,0,heat_maze
23,0.46,70.0,17.769999999999964,1.5707963267948966,-0.5,0.0,0.0,36.49999999398361,0.008245967233142526,0.0,23,70.0,17.769999999999964,1.5707963267948966,-0.5,REVERSE,0.55,0,0,0,0,heat_maze
24,0.48,70.0,17.759999999999962,1.5707963267948966,-0.5,0.0,0.0,36.49999999403173,0.008604049538164737,0.0,24,70.0,17.759999999999962,1.5707963267948966,-0.5,REVERSE,0.55,0,0,0,0,heat_maze
25,0.5,70.0,17.74999999999996,1.5707963267948966,-0.5,0.0,0.0,36.49999999407948,0.008962095403988624,0.0,25,70.0,17.74999999999996,1.5707963267948966,-0.5,REVERSE,0.55,0,0,0,0,heat_maze
26,0.52,70.0,17.73999999999996,1.5707963267948966,-0.5,0.0,0.0,36.49999999412685,0.009320104837990506,0.0,26,70.0,17.73999999999996,1.5707963267948966,-0.5,REVERSE,0.55,0,0,0,0,heat_maze
27,0.54,70.0,17.729999999999958,1.5707963267948966,-0.5,0.0,0.0,36.49999999417386,0.009678077847544042,0.0,27,70.0,17.729999999999958,1.5707963267948966,-0.5,REVERSE,0.55,0,0,0,0,heat_maze
