step,sim_time,pos_x,pos_y,heading,speed,reward,punishment,is_lights_on,beam_crossed,is_sleeping,time_step,fly_x,fly_y,fly_heading,fly_speed,state,satiety,food_collected,hazard_encounters,predator_kills,escapes,paradigm
58,1.16,15.12805081979844,5.0,1.2983400933055044e-22,0.13445252079593317,0.0,0.0,1.0,0.0,1.0,58,15.12805081979844,5.0,1.2983400933055044e-22,0.13445252079593317,WANDER,0.55,0,0,0,0,circadian_dam
59,1.18,15.130795121663263,5.0,1.3099038106807827e-22,0.13721509324116593,0.0,0.0,1.0,0.0,1.0,59,15.130795121663263,5.0,1.3099038106807827e-22,0.13721509324116593,WANDER,0.55,0,0,0,0,circadian_dam
60,1.2,15.133557895111796,5.0,1.3209259357636328e-22,0.1381386724265947,0.0,0.0,1.0,0.0,1.0,60,15.133557895111796,5.0,1.3209259357636328e-22,0.1381386724265947,WANDER,0.55,0,0,0,0,circadian_dam
61,1.22,15.136291267789685,5.0,1.3262240867508757e-22,0.136668633894506,0.0,0.0,1.0,0.0,1.0,61,15.136291267789685,5.0,1.3262240867508757e-22,0.136668633894506,WANDER,0.55,0,0,0,0,circadian_dam
62,1.24,15.138940998014627,5.0,1.333881764690307e-22,0.13248651124710067,0.0,0.0,1.0,0.0,1.0,62,15.138940998014627,5.0,1.333881764690307e-22,0.13248651124710067,WANDER,0.55,0,0,0,0,circadian_dam
63,1.26,15.14149122999913,5.0,1.3411831127718377e-22,0.1275115992251165,0.0,0.0,1.0,0.0,1.0,63,15.14149122999913,5.0,1.3411831127718377e-22,0.1275115992251165,WANDER,0.55,0,0,0,0,circadian_dam
64,1.28,15.14400376760701,5.0,1.3455410029451838e-22,0.12562688039405667,0.0,0.0,1.0,0.0,1.0,64,15.14400376760701,5.0,1.3455410029451838e-22,0.12562688039405667,WANDER,0.55,0,0,0,0,circadian_dam
65,1.3,15.146530713478365,5.0,1.3496990287408436e-22,0.1263472935676991,0.0,0.0,1.0,0.0,1.0,65,15.146530713478365,5.0,1.3496990287408436e-22,0.1263472935676991,WANDER,0.55,0,0,0,0,circadian_dam
66,1.32,15.149110379406162,5.0,1.3536666837167572e-22,0.12898329638984127,0.0,0.0,1.0,0.0,1.0,66,15.149110379406162,5.0,1.3536666837167572e-22,0.12898329638984127,WANDER,0.55,0,0,0,0,circadian_dam
67,1.34,15.15176440854553,5.0,1.3574530104868624e-22,0.13270145696837662,0.0,0.0,1.0,0.0,1.0,67,15.15176440854553,5.0,1.3574530104868624e-22,0.13270145696837662,WANDER,0.55,0,0,0,0,circadian_dam
68,1.36,15.15449636905576,5.0,1.3610666221409354e-22,0.13659802551150688,0.0,0.0,1.0,0.0,1.0,68,15.15449636905576,5.0,1.3610666221409354e-22,0.13659802551150688,WANDER,0.55,0,0,0,0,circadian_dam
69,1.3800000000000001,15.157291946595977,5.0,1.3645157226469877e-22,0.13977887701082578,0.0,0.0,1.0,0.0,1.0,69,15.157291946595977,5.0,1.3645157226469877e-22,0.13977887701082578,WANDER,0.55,0,0,0,0,circadian_dam
70,1.4000000000000001,15.16012071947711,5.0,1.36780812628455e-22,0.1414386440566314,0.0,0.0,1.0,0.0,1.0,70,15.16012071947711,5.0,1.36780812628455e-22,0.1414386440566314,WANDER,0.55,0,0,0,0,circadian_dam
71,1.42,15.162939358111254,5.0,1.370951276154876e-22,0.140931931707182,0.0,0.0,1.0,0.0,1.0,71,15.162939358111254,5.0,1.370951276154876e-22,0.140931931707182,WANDER,0.55,0,0,0,0,circadian_dam
72,1.44,15.165695962459768,5.0,1.3817644229675128e-22,0.1378302174257002,0.0,0.0,1.0,0.0,1.0,72,15.165695962459768,5.0,1.3817644229675128e-22,0.1378302174257002,WANDER,0.55,0,0,0,0,circadian_dam
73,1.46,15.168335148951675,5.0,1.3920719040281219e-22,0.13195932459536633,0.0,0.0,1.0,0.0,1.0,73,15.168335148951675,5.0,1.3920719040281219e-22,0.13195932459536633,WANDER,0.55,0,0,0,0,circadian_dam
74,1.48,15.170907713099337,5.0,1.4018977384599245e-22,0.12862820738312764,0.0,0.0,1.0,0.0,1.0,74,15.170907713099337,5.0,1.4018977384599245e-22,0.12862820738312764,WANDER,0.55,0,0,0,0,circadian_dam
75,1.5,15.173470741355613,5.0,1.4086607507592543e-22,0.12815141281375725,0.0,0.0,1.0,0.0,1.0,75,15.173470741355613,5.0,1.4086607507592543e-22,0.12815141281375725,WANDER,0.55,0,0,0,0,circadian_dam
76,1.52,15.176069212539499,5.0,1.4151102042572633e-22,0.12992355919428242,0.0,0.0,1.0,0.0,1.0,76,15.176069212539499,5.0,1.4151102042572633e-22,0.12992355919428242,WANDER,0.55,0,0,0,0,circadian_dam
77,1.54,15.178732542395212,5.0,1.4186569392784799e-22,0.13316649278564827,0.0,0.0,1.0,0.0,1.0,77,15.178732542395212,5.0,1.4186569392784799e-22,0.13316649278564827,WANDER,0.55,0,0,0,0,circadian_dam
78,1.56,15.181472499366036,5.0,1.422042614230411e-22,0.13699784854121136,0.0,0.0,1.0,0.0,1.0,78,15.181472499366036,5.0,1.422042614230411e-22,0.13699784854121136,WANDER,0.55,0,0,0,0,circadian_dam
79,1.58,15.184282679914734,5.0,1.4304829869034175e-22,0.1405090274348558,0.0,0.0,1.0,0.0,1.0,79,15.184282679914734,5.0,1.4304829869034175e-22,0.1405090274348558,WANDER,0.55,0,0,0,0,circadian_dam
80,1.6,15.187139591631633,5.0,1.4385304005960284e-22,0.14284558584494525,0.0,0.0,1.0,0.0,1.0,80,15.187139591631633,5.0,1.4385304005960284e-22,0.14284558584494525,WANDER,0.55,0,0,0,0,circadian_dam
81,1.62,15.19000524795148,5.0,1.451411628296882e-22,0.14328281599242446,0.0,0.0,1.0,0.0,1.0,81,15.19000524795148,5.0,1.451411628296882e-22,0.14328281599242446,WANDER,0.55,0,0,0,0,circadian_dam
82,1.6400000000000001,15.192831042518657,5.0,1.4636895052808672e-22,0.14128972835883588,0.0,0.0,1.0,0.0,1.0,82,15.192831042518657,5.0,1.4636895052808672e-22,0.14128972835883588,WANDER,0.55,0,0,0,0,circadian_dam
83,1.6600000000000001,15.19556255628963,5.0,1.4753926907070354e-22,0.1365756885486835,0.0,0.0,1.0,0.0,1.0,83,15.19556255628963,5.0,1.4753926907070354e-22,0.1365756885486835,WANDER,0.55,0,0,0,0,circadian_dam
